cosmo,,solar,,sn1987a,,reactor,,earyh anti nu,,dsnb,,atmospheric,,agn,,cosmogen,
X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
0.0017272546760942976,810451452709131800,50331.660397833875,4172466594.3331184,,,,,,,,,13192610890.563519,9.962870633819971e-11,796802882641260.1,1.0381424418621918e-25,,
0.001976729803387401,208956579562839580,72297.84669797959,12537478504.932222,,,,,,,,,17466258935.27702,3.1840764021483895e-11,1281123451490583.2,3.6298404020495503e-26,,
0.0021089727007722477,59918559406546040,108981.16423652202,35694508655.310455,,,,,,,,,22630517531.741478,1.1073345238334135e-11,1958651265303781.2,1.5214178609733735e-26,,
0.0022500626261519018,20550766932554870,176021.25660210894,108997089551.07368,,,,,,,,,29961505143.113926,3.509200577792555e-12,6061198831566262,1.1605856759592097e-27,,
0.002479591151455817,6603680839695756,285055.9112317548,116351286150.85645,,,,,,,,,39667311592.92978,1.1120838762028863e-12,9745376348949502,4.057960263217723e-28,,
0.0026312377328891637,1968387317320437.8,382867.8432774844,35432420583.890755,,,,,,,,,52517241757.20212,3.481966249611446e-13,15668906898096586,1.4386105290110963e-28,,
0.0028736872301456714,542231938118877.2,763896.4108270969,1304244637.8436449,,,,,,,,,71046976189.2629,1.0164967763246608e-13,25192936074519468,4.803498018310365e-29,,
0.003029389132118081,145937912140629.3,783378.1313320384,340319440.09117997,,,,,,,,,94062114996.33722,3.225221835655483e-14,40505954383577580,1.6872903392526625e-29,,
0.003332816504588099,33283292024352.254,1332192.4713949796,302907846.98699653,,,,,,,,,121873513405.77908,1.1216437781558956e-14,65126682164844230,5.686007677565571e-30,,
0.003589432275776764,5872410610678.671,1518153.1450226072,47939968.930655286,,,,,,,,,161353530408.44266,3.554547347404991e-15,147908055412417120,9.716719831721072e-31,,
0.0037233519486651184,1300361766714.65,1722433.6172358922,12346793.625008801,,,,,,,,,213622804887.75568,1.1169764541104876e-15,3404408990623340,4.7877254796277834e-27,,
0.004150409165384675,273992673989.93628,1858942.2607528951,3026401.701933575,,,,,,,,,282824321554.0123,3.526961090407618e-16,10673723451331.842,9.387206010602521e-22,,
0.00423058254367398,61088766794.304054,2176206.5372490026,311196.0304065504,,,,,,,,,382613636338.5184,1.0296322025010618e-16,4684258295577.976,5.352966275486341e-21,,
0.0046071212570103345,15287073458.839396,4233979.14000742,145941.64155898595,,,,,,,,,517611759511.38184,3.005824122388269e-17,2232200669107.5796,2.0731930368310817e-20,,
0.004687370497678352,4316551691.337132,6906189.6160669895,153701.78853859418,,,,,,,,,685288234039.9177,9.594852892733265e-18,,,,
0.004894162452557619,1384549976.6724918,10295979.28714325,75005.54472740859,,,,,,,,,887907791371.0403,3.3087506805515296e-18,,,,
0.005205504274327475,437713076.10108614,12105334.093051305,25147.045570722454,,,,,,,,,1175538907603.9124,1.0664307758006798e-18,,,,
0.005249835146719574,125830808.57359721,13582333.07226761,7564.616083926164,,,,,,,,,1556345981779.0034,3.322941896075391e-19,,,,
0.005597690853968136,33842638.77887322,14595630.956355328,3963.3246850103847,,,,,,,,,2060512671534.487,1.0505183225902351e-19,,,,
0.005771196322472624,6280340.921073891,2578258.0270489496,152248.31823850848,,,,,,,,,2787526340187.2754,2.957726849527915e-20,,,,
0.006047125250643966,1227465.5957495696,1854625.9571529347,868181.7700706293,,,,,,,,,3771053293960.719,8.952957614532829e-21,,,,
0.006320198727185168,194498.17225750352,387858.77499801316,1640071122.0938694,,,,,,,,,5101599486567.173,2.7297344227059468e-21,,,,
0.006569209980609618,29929.79441165892,387858.77499801316,348988394.97281575,,,,,,,,,6733428918516.447,8.144005429669827e-22,,,,
0.006962993975585335,4633.913673391672,387858.77499801316,74260742.83303565,,,,,,,,,8751250042799.545,2.9652021199382993e-22,,,,
0.006955840458375494,1003.4171130309479,387858.77499801316,6351962361.137371,,,,,,,,,11338737061674.475,1.0054043288294156e-22,,,,
0.007506973855402555,228.23881978395738,,,,,,,,,,,14691267821741.096,3.496520758651404e-23,,,,
0.0074154661175621535,48.65148745397962,,,,,,,,,,,19450394617912.543,1.12695023144814e-23,,,,
0.007724726956306861,14.50175639887532,,,,,,,,,,,25751205095632.51,3.571363773298381e-24,,,,
0.00774261301912477,3.856603466068456,,,,,,,,,,,34093116201696.02,1.1263322137518683e-24,,,,
