OVERVIEW OF GCNed CANDIDATES,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
IceCube event,IceCube GCN,Our ATel(s)/GCN(s),sep. from plane,Candidate Names,Candidate IAU Names,Classification,Max Brightness g,Max brightness r,Brightness at neutrino arrival g,Brightness at neutrino arrival r,number of detection days,Fritz Link,Notes,SUMMARY,,,,,,,,,,
IC200620A,https://gcn.gsfc.nasa.gov/gcn3/27997.gcn3,https://gcn.gsfc.nasa.gov/gcn3/28005.gcn3,57.43,ZTF20abgvabi,AT 2020ncr,,20.35,20.2,20.6,20.81,11,https://fritz.science/source/ZTF20abgvabi,"SDSS photoz 0.51, unclear what it is - SLSN? Abs. mag -21.7",,,,,,,,,,,
,,,,ZTF18acvhwtf,AT 2020ncs,Sy1,20.2,19.67,20.46,20.54,,,no flaring activity,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
IC200916A,https://gcn.gsfc.nasa.gov/gcn3/28433.gcn3,https://gcn.gsfc.nasa.gov/gcn3/28441.gcn3,12.53,ZTF20acaapwk,AT2020tno,SN Ia,19.36,18.85,19.53,19.42,7,https://fritz.science/source/ZTF20acaapwk,"GCNed, rising after 1 day, retraction GCNed, first detection on Marshal!",,,,,,,,,,,
,,https://gcn.gsfc.nasa.gov/gcn3/28465.gcn3,,ZTF20acaapwo,AT2020tnp,young SN?,20.42,20.41,20.67,20.41,3,https://fritz.science/source/ZTF20acaapwo,"GCNed, constant after 1 day, first detection on Marshal!",,,,,,,,,,,
,,,,ZTF18adbbnry,AT2020tnn,probably AGN,19.78,20.04,20.24,20.39,,,"history of variability, faint variable detection in PS1",,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
IC200926A,https://gcn.gsfc.nasa.gov/gcn3/28504.gcn3,https://gcn.gsfc.nasa.gov/gcn3/28520.gcn3,-7.66,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
IC200929A,https://gcn.gsfc.nasa.gov/gcn3/28532.gcn3,https://gcn.gsfc.nasa.gov/gcn3/28551.gcn3,-53.75,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
IC201007A,https://gcn.gsfc.nasa.gov/gcn3/28575.gcn3,https://gcn.gsfc.nasa.gov/gcn3/28609.gcn3,18.16,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
IC201021A,https://gcn.gsfc.nasa.gov/gcn3/28715.gcn3,https://gcn.gsfc.nasa.gov/gcn3/28757.gcn3,25.96,ZTF20acmxnpa,AT2020ybb,,20.56,,19.7,,3,https://fritz.science/source/ZTF20acmxnpa,predetections 9 days prior to neutrino --> SN IIn ??,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
IC201130A,https://gcn.gsfc.nasa.gov/gcn3/28969.gcn3,https://gcn.gsfc.nasa.gov/gcn3/28989.gcn3,-67.62,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
