OVERVIEW,,,,,,,,v2 alerts,42,,,,,,,
,,,,,,,,,,,,,,,,
total number,,43,,,,,,,,,,,,,,
Event,Class,RA,RA Unc (rectangle),Dec,Dec Unc (rectangle),Area (rectangle),Observed area (from Healpix),Observed area (corrected for chip gaps),Signalness,S/B,Energy estimate [TeV],Separation from gal. plane,IC GCN,ZTF ATEL/GCN,Additional ZTF GCN,Additional ZTF GCN
IC220624A,GOLD,224.12,"[2.23, -1.95]",41.31,"[1.56, -1.56]",9.80,9.72,8.09,0.60866,0.06213235757,192.981,,https://gcn.gsfc.nasa.gov/gcn/gcn3/32260.gcn3,https://gcn.gsfc.nasa.gov/gcn/gcn3/32270.gcn3,,
IC220822A,BRONZE,273.08,"[2.47, -2.50]",21.54,"[0.94, -1.18]",9.81,11.45,9.63,0.38343,0.03909107049,114.929,17.84,https://gcn.gsfc.nasa.gov/gcn/gcn3/32475.gcn3,https://gcn.gsfc.nasa.gov/gcn/gcn3/32480.gcn3,,
IC220907A,BRONZE,224.81,"[2.07, -1.95]",44.7,"[0.94, -1.06]",5.72,7.21,5.41,0.46014,0.08043355395,127.767,59.71,https://gcn.gsfc.nasa.gov/gcn/gcn3/32523.gcn3,https://gcn.gsfc.nasa.gov/gcn/gcn3/32536.gcn3,,
IC221216A,BRONZE,6.86,"[1.08, -2.06]",10.43,"[1.54, -1.07]",8.05,7.11,5.68,0.4145,0.05146617823,155.667,-51.99,https://gcn.gsfc.nasa.gov/gcn/gcn3/33065.gcn3,https://gcn.gsfc.nasa.gov/gcn/gcn3/33089.gcn3,,
IC221223A,GOLD,350.54,"[0.67, -0.67]",34.71,"[0.67, -0.67]",1.48,1.28,0.97,0.79471,0.5383982791,352.748,,https://gcn.gsfc.nasa.gov/gcn/gcn3/33094.gcn3,https://gcn.gsfc.nasa.gov/gcn/gcn3/33134.gcn3,,
IC230112A,BRONZE,24.35,"[1.43, -1.71]",0.9,"[0.63, -1.26]",5.93,5.88,5.57,0.28425,0.04789957484,111.244,,https://gcn.gsfc.nasa.gov/gcn3/33161.gcn3,https://gcn.gsfc.nasa.gov/gcn3/33174.gcn3,,
IC230707A,GOLD,269.03,"[0.88, -0.76]",-1.94,"[0.53, -0.54]",1.754,1.4359,1.4359,0.66324,0.3781299886,279.511,,https://gcn.nasa.gov/circulars/34163,https://gcn.nasa.gov/circulars/34185,,
IC230724A,GOLD,32.52,"[0.58, -0.40]",-1.87,"[0.23, -0.33]",0.549,0.5,0.5,5.27E-01,9.59E-01,1.91E+02,,https://gcn.nasa.gov/circulars/34265,https://gcn.nasa.gov/circulars/34284,,
IC230727A,BRONZE,33.66,"[1.16, -0.77]",7.63,"[0.70, -0.64]",2.563,1.7,1.7,2.94E-01,1.15E-01,1.13E+02,,https://gcn.nasa.gov/circulars/34276,https://gcn.nasa.gov/circulars/34294,,
IC231004A,GOLD,143.79,"[1.10, -1.01]",25.04,"[1.03, -1.21]",4.28,,3.1,0.8417,0.1966588785,442.279,,https://gcn.nasa.gov/circulars/34797,https://gcn.nasa.gov/circulars/34837,https://gcn.nasa.gov/circulars/34810,
IC231103A,GOLD,105.67,"[3.15, -2.94]",47.85,"[1.95, -1.78]",15.244,,12.9,0.59238,0.0388598793,180.34,20,https://gcn.nasa.gov/circulars/34933,https://gcn.nasa.gov/circulars/34973,,
IC231202A,BRONZE,139.04,"[1.52, -1.96]",0.37,"[1.11, -1.40]",8.74,,,0.27139,0.03105148741,1.08E+02,,https://gcn.nasa.gov/circulars/35255,https://gcn.nasa.gov/circulars/35320,,
IC240105A,BRONZE,72.69,"[0.53, -0.33]",11.42,"[0.20, -0.08]",5.05,,,0.30117,0.05963762376,109.512,,https://gcn.nasa.gov/circulars/35485,https://gcn.nasa.gov/circulars/35510,,
IC240327B,BRONZE,89.21,"[1.36, -1.55]",0.93,"[1.23, -1.47]",7.856,,5.7,0.37111,0.04723905295,152.69,,https://gcn.nasa.gov/circulars/35984,https://gcn.nasa.gov/circulars/35989,,
IC240721A,BRONZE,354.99,"[+1.08, -1.14]",22.67,"[+1.38, -1.14]",5.61,4.5,,0.45356,,147.032,,https://gcn.nasa.gov/circulars/36918,https://gcn.nasa.gov/circulars/36929,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
ALL,,,,,,290.316,245.630,230.35,20.11,,,,,,,
