,sample_name,idx_to_news_sample,dist_to_news_source_arcsec,chunk_number,id,ra,dec,news_ra,news_dec
629,mirong,14089335,32.14621083646618,27,630,199.7452,57.5018,199.74435494,57.49288205
630,mirong,22392333,37.681580682377486,44,631,199.8782,67.8987,199.89775598,67.89125654
631,mirong,6394868,0.06841532690024542,12,632,199.8822,17.634,199.88218689,17.63401432
632,mirong,4503079,0.18332358225149328,8,633,199.9915,51.5514,199.99150439,51.55145085
633,mirong,27217585,34.34844630776984,53,634,200.0565,7.9078,200.04735033,7.90481626
634,mirong,3992181,0.16509519322123056,7,635,200.2406,45.6443,200.24065164,45.64427172
635,mirong,10299923,26.47351628538653,20,636,200.5074,-0.304,200.50193443,-0.30891997
636,mirong,20454140,30.47657964035443,40,637,200.6017,42.4454,200.59475546,42.43866169
637,mirong,37394142,21.954651948796165,74,638,200.7498,33.0227,200.75707307,33.0227678
638,mirong,78539,0.19924278663151143,0,639,200.9032,-1.9707,200.90314702,-1.97068389
639,mirong,832445,0.0996268857369533,1,640,201.3027,8.0471,201.30272451,8.0471133
640,mirong,15360167,0.0852029762287602,30,641,201.4956,41.2501,201.49558826,41.25007804
641,mirong,1931760,25.696030812275723,3,642,202.0483,62.462,202.03362436,62.45978479
642,mirong,6798970,52.02412428362829,13,643,202.2019,27.8744,202.2170981,27.86907697
643,mirong,4406206,0.2639914746402104,8,644,202.2105,-0.0653,202.21046132,-0.0653623
644,mirong,12092825,0.23721073063581397,23,645,202.2586,23.6857,202.25853565,23.68567052
645,mirong,23340399,0.17314425863153837,46,646,202.3759,34.2329,202.37595075,34.23292351
646,mirong,2682091,0.2010784933884138,5,647,202.8829,-1.9575,202.88292841,-1.9575481
647,mirong,11407998,0.2186023918909464,22,648,203.0526,20.6106,203.05262404,20.6105436
648,mirong,30989013,38.79057959581948,61,649,203.2049,57.3469,203.18709979,57.34201609
649,mirong,26874948,26.89416125396905,53,650,203.3097,39.3879,203.31335047,39.38098269
650,mirong,22038593,19.96709497565235,43,651,203.4821,-1.276,203.48755373,-1.274983
651,mirong,8264420,0.10731998579507,16,652,203.8352,-0.9774,203.83518648,-0.97742657
652,mirong,295717,0.1918262034384809,0,653,204.1398,44.7252,204.13983917,44.72515456
653,mirong,20987025,46.3548631540783,41,654,204.3807,0.5914,204.38795805,0.60203611
654,mirong,8661713,0.23390866301593535,17,655,204.4289,15.8612,204.42887973,15.86113802
655,mirong,6748093,0.21243443896266012,13,656,204.5596,39.0757,204.55963137,39.07575375
656,mirong,9428002,0.14938053926620384,18,657,204.9754,8.7617,204.97538222,8.76173759
657,mirong,10350751,0.1402090824541461,20,658,205.1354,18.7052,205.135386,18.70516338
658,mirong,48435,0.11132784558174658,0,659,205.2277,40.1104,205.22773608,40.11038604
659,mirong,702287,0.10955839056976811,1,660,205.2539,8.9377,205.25392355,8.93768038
660,mirong,12354874,0.13694647156516612,24,661,205.2749,-0.8174,205.2749268,-0.817373
661,mirong,7753108,0.21679225836982483,15,662,205.3019,9.8755,205.30185249,9.87546211
662,mirong,20966481,0.161423397790143,41,663,205.3467,15.2807,205.34665762,15.28068158
663,mirong,28227962,71.73014206228012,55,664,205.5349,35.6543,205.55159085,35.66889827
664,mirong,15283342,25.151977194081493,30,665,205.5589,15.334,205.554361,15.33944538
665,mirong,12998818,23.309148482158644,25,666,205.6417,49.2867,205.63233027,49.28456251
666,mirong,6444402,42.308268533463675,12,667,205.6851,5.5156,205.69515435,5.50943888
667,mirong,29960519,23.620628924475575,59,668,205.6993,13.8466,205.7033128,13.84132081
668,mirong,28185771,23.748870940583544,55,669,205.8751,51.0345,205.86627014,51.03806221
669,mirong,9977328,79.19230127957579,19,670,206.1189,61.5397,206.12021038,61.51771101
670,mirong,19042067,0.03825019887294371,37,671,206.1741,42.9132,206.17410819,42.91320877
671,mirong,6380292,0.19303956168085473,12,672,206.4425,7.0585,206.442462,7.05853812
672,mirong,5874174,0.1228095954644433,11,673,206.6488,3.5134,206.64877667,3.51337507
673,mirong,19991041,17.024750500923926,39,674,206.7157,48.5453,206.71443687,48.54064543
674,mirong,7261089,0.20570349637426547,14,675,206.7791,21.244,206.77910929,21.24394352
675,mirong,380412,0.10484275391028965,0,676,207.2058,15.9839,207.20579189,15.98392806
676,mirong,6813418,0.07300368162231198,13,677,207.5321,12.7826,207.53208037,12.78260669
677,mirong,12975041,0.12171756866566752,25,678,207.9925,55.703,207.99250506,55.70303369
678,mirong,10872915,0.07475192244264442,21,679,208.1366,25.3318,208.13660532,25.3317798
679,mirong,17387960,0.054872985902058545,34,680,208.1372,27.0645,208.13718962,27.06448788
680,mirong,10414860,0.21593689971502944,20,681,208.1724,0.1572,208.17235118,0.15716515
681,mirong,27390866,22.637573846956347,54,682,208.186,-0.2573,208.18342974,-0.26303895
682,mirong,7576910,0.18582647680788697,15,683,208.213,16.2214,208.21297651,16.22144643
683,mirong,2366734,0.1347131355453245,4,684,208.4521,35.5751,208.45209448,35.57513715
684,mirong,1095885,0.0843971930332846,2,685,208.5925,39.0291,208.59250852,39.02912249
685,mirong,20898314,66.90886429675571,41,686,208.7066,58.3879,208.69129966,58.40466733
686,mirong,36492885,36.51627048350804,72,687,208.851,25.2914,208.84338405,25.29884819
687,mirong,21528385,82.35689371029801,42,688,208.9017,16.9868,208.88167625,16.99931596
688,mirong,33103964,33.450597374866554,65,689,209.236,8.914,209.23034531,8.90657506
689,mirong,1617610,0.15329891100135024,3,690,209.2566,32.8407,209.25658239,32.84073993
690,mirong,14362256,79.71419299776377,28,691,209.3622,44.3875,209.34606223,44.36859856
691,mirong,4841709,0.15709431866897,9,692,209.3904,11.8616,209.39044061,11.86158198
692,mirong,8182419,0.15736348044929688,16,693,209.7273,3.8339,209.72725677,3.83390709
693,mirong,6251760,0.041066072959329236,12,694,209.86,25.2613,209.85999211,25.2612911
694,mirong,4944556,0.11408857800523868,9,695,209.8857,30.4452,209.8857275,30.44522103
695,mirong,6615623,74.38818165259667,13,696,210.1708,9.3068,210.14986099,9.30678802
696,mirong,13122539,0.07040477351761851,26,697,210.4079,65.7655,210.40790943,65.76551917
697,mirong,16891273,35.692513112543104,33,698,210.5886,39.3701,210.5797559,39.37728042
698,mirong,26849499,32.6483563014993,53,699,210.6855,15.9991,210.69486775,15.99802395
699,mirong,5183934,0.16517352686686065,10,700,210.8362,39.0887,210.8361749,39.08874154
700,mirong,3259769,58.330099175199756,6,701,210.956,24.8992,210.97019961,24.90903138
701,mirong,3891085,0.09252146765141869,7,702,211.0243,36.0134,211.02431162,36.01342392
702,mirong,37787105,0.22859496979281307,74,703,211.5593,28.3945,211.55928151,28.39443862
703,mirong,9511527,34.318014744810576,18,704,211.7018,6.4763,211.70884817,6.4827676
704,mirong,5414111,83.39507966246597,10,705,211.906,44.482,211.93656726,44.47419347
705,mirong,27483767,23.223715807340387,54,706,211.9727,28.2359,211.97506332,28.24200581
706,mirong,18735851,0.1961813807255521,37,707,212.1866,29.6697,212.18663638,29.66965561
707,mirong,8684320,0.16553847098578958,17,708,212.2997,58.3295,212.29973658,58.32954178
708,mirong,11831757,43.77885462667999,23,709,212.4595,10.9612,212.47188204,10.96086403
709,mirong,8834714,0.06217564496340005,17,710,212.4668,24.7263,212.46680392,24.7262831
